ITEMID,COALESCED_CONCEPT_NAME,LABEL,FLUID,CATEGORY,LOINC_CODE,LOINC_CONCEPT_NAME,LOINC_CODE_MATCH,MAPPED_CONCEPT_CODE,MAPPED_CONCEPT_NAME
50975,Protein electrophoresis panel - Serum or Plasma,Protein Electrophoresis,Blood,Chemistry,24351-9,Protein electrophoresis panel - Serum or Plasma,False,12851-2,Protein Fractions [Interpretation] in Serum or Plasma by Electrophoresis
51283,Reticulocytes/100 erythrocytes in Blood by Automated count,"Reticulocyte Count, Automated",Blood,Hematology,17849-1,Reticulocytes/100 erythrocytes in Blood by Automated count,False,60474-4,Reticulocytes [#/volume] in Blood by Automated count
51284,Reticulocytes/100 erythrocytes in Blood by Manual,"Reticulocyte Count, Manual",Blood,Hematology,31112-6,Reticulocytes/100 erythrocytes in Blood by Manual,False,40665-2,Reticulocytes [#/volume] in Blood by Manual count
50980,Rheumatoid factor [Units/volume] in Serum by Immunoassay,Rheumatoid Factor,Blood,Chemistry,6928-6,Rheumatoid factor [Units/volume] in Serum by Immunoassay,False,11572-5,Rheumatoid factor [Units/volume] in Serum or Plasma
50981,Salicylates [Presence] in Serum or Plasma,Salicylate,Blood,Chemistry,4023-8,Salicylates [Presence] in Serum or Plasma,False,4024-6,Salicylates [Mass/volume] in Serum or Plasma
50982,Sex hormone binding globulin [Mass/volume] in Serum or Plasma,Sex Hormone Binding Globulin,Blood,Chemistry,2942-1,Sex hormone binding globulin [Mass/volume] in Serum or Plasma,False,13967-5,Sex hormone binding globulin [Moles/volume] in Serum or Plasma
51293,Sucrose hemolysis [Presence] of Red Blood Cells,Sugar Water Test,Blood,Hematology,12260-6,Sucrose hemolysis [Presence] of Red Blood Cells,False,13534-3,Sucrose hemolysis [Presence] of Blood
51219,TBX5 gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal,H/O Smear,Blood,Hematology,38924-7,TBX5 gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal,False,5909-7,Blood smear finding [Identifier] in Blood by Light microscopy
50894,Testosterone Free [Mass/volume] in Serum or Plasma,Calculated Free Testosterone,Blood,Chemistry,2991-8,Testosterone Free [Mass/volume] in Serum or Plasma,False,96559-0,Testosterone Free [Moles/volume] in Serum or Plasma by calculation
50877,Thyroglobulin Ab [Units/volume] in Serum by Radioimmunoassay (RIA),Anti-Thyroglobulin Antibodies,Blood,Chemistry,5380-1,Thyroglobulin Ab [Units/volume] in Serum by Radioimmunoassay (RIA),False,8098-6,Thyroglobulin Ab [Units/volume] in Serum or Plasma
51502,Trichomonas sp [Presence] in Urine by Light microscopy,Trichomonas,Urine,Hematology,32724-7,Trichomonas sp [Presence] in Urine by Light microscopy,False,33905-1,Trichomonas sp [#/area] in Urine sediment by Microscopy high power field
50999,Tricyclic antidepressants [Presence] in Serum or Plasma,Tricyclic Antidepressant Screen,Blood,Chemistry,4073-3,Tricyclic antidepressants [Presence] in Serum or Plasma,False,80146-4,Tricyclic antidepressants [Presence] in Blood by Screen method
51000,Triglyceride [Mass/volume] in Serum or Plasma --12 hours fasting,Triglycerides,Blood,Chemistry,1644-4,Triglyceride [Mass/volume] in Serum or Plasma --12 hours fasting,False,2571-8,Triglyceride [Mass/volume] in Serum or Plasma
